ORDERNUMBER,QUANTITYORDERED,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,PRODUCTCODE,CUSTOMERNAME,CITY,COUNTRY,TERRITORY,DEALSIZE,Customer Value,Customer PO Freq.,Customer Frequency,CLTV
10107,30,2,2871.0,2003-02-24,Shipped,1,2,2003,Motorcycles,S10_1678,Land of Toys Inc.,NYC,USA,North America,Small,High-value,4,Low-freq.,20826.0
10121,34,5,2765.9,2003-05-07,Shipped,2,5,2003,Motorcycles,S10_1678,Reims Collectables,Reims,France,EMEA,Small,High-value,5,Low-freq.,17121.0
10134,41,2,3884.34,2003-07-01,Shipped,3,7,2003,Motorcycles,S10_1678,Lyon Souveniers,Paris,France,EMEA,Medium,Low-value,3,Low-freq.,9945.0
10145,45,6,3746.7,2003-08-25,Shipped,3,8,2003,Motorcycles,S10_1678,Toys4GrownUps.com,Pasadena,USA,North America,Medium,High-value,3,Low-freq.,13260.0
10159,49,14,5205.27,2003-10-10,Shipped,4,10,2003,Motorcycles,S10_1678,Corporate Gift Ideas Co.,San Francisco,USA,North America,Medium,High-value,4,Low-freq.,19032.0
10168,36,1,3479.76,2003-10-28,Shipped,4,10,2003,Motorcycles,S10_1678,Technics Stores Inc.,Burlingame,USA,North America,Medium,High-value,4,Low-freq.,15327.0
10180,29,9,2497.77,2003-11-11,Shipped,4,11,2003,Motorcycles,S10_1678,Daedalus Designs Imports,Lille,France,EMEA,Small,Low-value,2,Low-freq.,8736.0
10188,48,1,5512.32,2003-11-18,Shipped,4,11,2003,Motorcycles,S10_1678,Herkku Gifts,Bergen,Norway,EMEA,Medium,High-value,3,Low-freq.,14157.0
10201,22,2,2168.54,2003-12-01,Shipped,4,12,2003,Motorcycles,S10_1678,Mini Wheels Co.,San Francisco,USA,North America,Small,Low-value,3,Low-freq.,9438.0
10211,41,14,4708.44,2004-01-15,Shipped,1,1,2004,Motorcycles,S10_1678,Auto Canal Petit,Paris,France,EMEA,Medium,Low-value,3,Low-freq.,11817.0
10223,37,1,3965.66,2004-02-20,Shipped,1,2,2004,Motorcycles,S10_1678,"Australian Collectors, Co.",Melbourne,Australia,APAC,Medium,High-value,5,Low-freq.,25506.0
10237,23,7,2333.12,2004-04-05,Shipped,2,4,2004,Motorcycles,S10_1678,Vitachrome Inc.,NYC,USA,North America,Small,Low-value,3,Low-freq.,11154.0
10251,28,2,3188.64,2004-05-18,Shipped,2,5,2004,Motorcycles,S10_1678,Tekni Collectables Inc.,Newark,USA,North America,Medium,Low-value,3,Low-freq.,10569.0
10263,34,2,3676.76,2004-06-28,Shipped,2,6,2004,Motorcycles,S10_1678,Gift Depot Inc.,Bridgewater,USA,North America,Medium,High-value,3,Low-freq.,12909.0
10275,45,1,4177.35,2004-07-23,Shipped,3,7,2004,Motorcycles,S10_1678,La Rochelle Gifts,Nantes,France,EMEA,Medium,High-value,4,Low-freq.,22854.0
10285,36,6,4099.68,2004-08-27,Shipped,3,8,2004,Motorcycles,S10_1678,Marta's Replicas Co.,Cambridge,USA,North America,Medium,High-value,2,Low-freq.,13065.0
10299,23,9,2597.39,2004-09-30,Shipped,3,9,2004,Motorcycles,S10_1678,"Toys of Finland, Co.",Helsinki,Finland,EMEA,Small,High-value,3,Low-freq.,14118.0
10309,41,5,4394.38,2004-10-15,Shipped,4,10,2004,Motorcycles,S10_1678,Baane Mini Imports,Stavern,Norway,EMEA,Medium,High-value,4,Low-freq.,14781.0
10318,46,1,4358.04,2004-11-02,Shipped,4,11,2004,Motorcycles,S10_1678,Diecast Classics Inc.,Allentown,USA,North America,Medium,High-value,4,Low-freq.,15483.0
10329,42,1,4396.14,2004-11-15,Shipped,4,11,2004,Motorcycles,S10_1678,Land of Toys Inc.,NYC,USA,North America,Medium,High-value,4,Low-freq.,20826.0
10341,41,9,7737.93,2004-11-24,Shipped,4,11,2004,Motorcycles,S10_1678,Salzburg Collectables,Salzburg,Austria,EMEA,Large,High-value,4,Low-freq.,18993.0
10361,20,13,1451.0,2004-12-17,Shipped,4,12,2004,Motorcycles,S10_1678,Souveniers And Things Co.,Chatswood,Australia,APAC,Small,High-value,4,Low-freq.,19227.0
10375,21,12,733.11,2005-02-03,Shipped,1,2,2005,Motorcycles,S10_1678,La Rochelle Gifts,Nantes,France,EMEA,Small,High-value,4,Low-freq.,22854.0
10388,42,4,3207.12,2005-03-03,Shipped,1,3,2005,Motorcycles,S10_1678,FunGiftIdeas.com,New Bedford,USA,North America,Medium,Low-value,3,Low-freq.,12558.0
10403,24,7,2434.56,2005-04-08,Shipped,2,4,2005,Motorcycles,S10_1678,"UK Collectables, Ltd.",Liverpool,UK,EMEA,Small,High-value,3,Low-freq.,14976.0
10417,66,2,7516.08,2005-05-13,Disputed,2,5,2005,Motorcycles,S10_1678,Euro Shopping Channel,Madrid,Spain,EMEA,Large,High-value,26,High-freq.,115869.0
10103,26,11,5404.62,2003-01-29,Shipped,1,1,2003,Cars,S10_1949,Baane Mini Imports,Stavern,Norway,EMEA,Medium,High-value,4,Low-freq.,14781.0
10112,29,1,7209.11,2003-03-24,Shipped,1,3,2003,Cars,S10_1949,"Volvo Model Replicas, Co",Lule,Sweden,EMEA,Large,Low-value,4,Low-freq.,9594.0
10126,38,11,7329.06,2003-05-28,Shipped,2,5,2003,Cars,S10_1949,"Corrida Auto Replicas, Ltd",Madrid,Spain,EMEA,Large,High-value,3,Low-freq.,15288.0
10140,37,11,7374.1,2003-07-24,Shipped,3,7,2003,Cars,S10_1949,Technics Stores Inc.,Burlingame,USA,North America,Large,High-value,4,Low-freq.,15327.0
10150,45,8,10993.5,2003-09-19,Shipped,3,9,2003,Cars,S10_1949,"Dragon Souveniers, Ltd.",Singapore,Singapore,APAC,Large,High-value,5,Low-freq.,21957.0
10163,21,1,4860.24,2003-10-20,Shipped,4,10,2003,Cars,S10_1949,Classic Legends Inc.,NYC,USA,North America,Medium,Low-value,3,Low-freq.,9867.0
10174,34,4,8014.82,2003-11-06,Shipped,4,11,2003,Cars,S10_1949,"Australian Gift Network, Co",South Brisbane,Australia,APAC,Large,Low-value,3,Low-freq.,7527.0
10183,23,8,5372.57,2003-11-13,Shipped,4,11,2003,Cars,S10_1949,"Classic Gift Ideas, Inc",Philadelphia,USA,North America,Medium,Low-value,2,Low-freq.,8541.0
10194,42,11,7290.36,2003-11-25,Shipped,4,11,2003,Cars,S10_1949,"Saveley & Henriot, Co.",Lyon,France,EMEA,Large,High-value,3,Low-freq.,18135.0
10206,47,6,9064.89,2003-12-05,Shipped,4,12,2003,Cars,S10_1949,Canadian Gift Exchange Network,Vancouver,Canada,North America,Large,Low-value,2,Low-freq.,9555.0
10215,35,3,6075.3,2004-01-29,Shipped,1,1,2004,Cars,S10_1949,West Coast Collectables Co.,Burbank,USA,North America,Medium,Low-value,2,Low-freq.,5850.0
10228,29,2,6463.23,2004-03-10,Shipped,1,3,2004,Cars,S10_1949,Cambridge Collectables Co.,Cambridge,USA,North America,Medium,Low-value,2,Low-freq.,4563.0
10245,34,9,6120.34,2004-05-04,Shipped,2,5,2004,Cars,S10_1949,Super Scale Inc.,New Haven,USA,North America,Medium,Low-value,2,Low-freq.,10062.0
10258,32,6,7680.64,2004-06-15,Shipped,2,6,2004,Cars,S10_1949,"Tokyo Collectables, Ltd",Minato-ku,Japan,APAC,Large,High-value,4,Low-freq.,15288.0
10270,21,9,4905.39,2004-07-19,Shipped,3,7,2004,Cars,S10_1949,Souveniers And Things Co.,Chatswood,Australia,APAC,Medium,High-value,4,Low-freq.,19227.0
10280,34,2,8014.82,2004-08-17,Shipped,3,8,2004,Cars,S10_1949,Amica Models & Co.,Torino,Italy,EMEA,Large,Low-value,2,Low-freq.,11934.0
10291,37,11,7136.19,2004-09-08,Shipped,3,9,2004,Cars,S10_1949,Scandinavian Gift Ideas,Boras,Sweden,EMEA,Large,High-value,3,Low-freq.,17043.0
